"","elements_number","y_component_number","vector_length","temporary_size","load_overlap","threads_number","lws_y","time_per_pixel","row_number","measurement_order","experiment_id","slowdown","method"
"201",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,97,201,1.07835653189674,"GPR"
"202",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,58,202,1.02697620634826,"GPR"
"203",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,97,203,1.07835653189674,"GPR"
"204",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,48,204,1.03091776073943,"GPR"
"205",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,58,205,1.07835653189674,"GPR"
"206",6,6,1,2,1,256,8,1.20906299051561e-10,13911,9,206,1.03781053945405,"GPR"
"207",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,101,207,1.01488180994275,"GPR"
"208",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,109,208,1.07835653189674,"GPR"
"209",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,100,209,1.0761594320093,"GPR"
"210",5,5,1,4,1,1024,8,1.23934836150301e-10,11983,5,210,1.06380627123028,"GPR"
"211",6,6,1,2,1,256,4,1.17149348789584e-10,9843,9,211,1.00556240508331,"GPR"
"212",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,110,212,1.0761594320093,"GPR"
"213",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,86,213,1.04732094092038,"GPR"
"214",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,77,214,1.01488180994275,"GPR"
"215",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,80,215,1.0511551928136,"GPR"
"216",6,6,1,2,1,1024,1,1.28669181117226e-10,19807,37,216,1.10444396457321,"GPR"
"217",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,70,217,1.0511551928136,"GPR"
"218",6,6,1,2,1,256,1,1.18202032710546e-10,19283,93,218,1.01459821609115,"GPR"
"219",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,70,219,1.07835653189674,"GPR"
"220",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,106,220,1.07835653189674,"GPR"
"221",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,107,221,1.01488180994275,"GPR"
"222",6,6,1,2,2,256,1,1.17919974204394e-10,17258,92,222,1.01217714049192,"GPR"
"223",6,6,1,4,2,1024,1,1.29667282018423e-10,19245,104,223,1.1130112571198,"GPR"
"224",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,65,224,1.03091776073943,"GPR"
"225",6,6,1,2,1,1024,1,1.28669181117226e-10,19807,31,225,1.10444396457321,"GPR"
"226",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,114,226,1.0511551928136,"GPR"
"227",6,6,1,4,1,1024,8,1.20545060937111e-10,17594,106,227,1.0347098182727,"GPR"
"228",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,32,228,1.07835653189674,"GPR"
"229",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,46,229,1.04732094092038,"GPR"
"230",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,85,230,1.07835653189674,"GPR"
"231",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,81,231,1.02697620634826,"GPR"
"232",6,6,1,2,1,256,8,1.20906299051561e-10,13911,2,232,1.03781053945405,"GPR"
"233",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,43,233,1.0761594320093,"GPR"
"234",5,5,1,2,1,1024,4,1.23941384284205e-10,15438,10,234,1.0638624777508,"GPR"
"235",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,49,235,1.0761594320093,"GPR"
"236",6,6,1,2,1,256,1,1.18202032710546e-10,19283,52,236,1.01459821609115,"GPR"
"237",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,71,237,1.03091776073943,"GPR"
"238",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,115,238,1.07835653189674,"GPR"
"239",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,79,239,1.0761594320093,"GPR"
"240",6,6,1,2,2,256,1,1.17919974204394e-10,17258,60,240,1.01217714049192,"GPR"
"241",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,51,241,1.02697620634826,"GPR"
"242",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,91,242,1.0761594320093,"GPR"
"243",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,97,243,1.0761594320093,"GPR"
"244",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,54,244,1.07835653189674,"GPR"
"245",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,45,245,1.0761594320093,"GPR"
"246",6,6,1,4,2,128,1,1.1965589478547e-10,17968,91,246,1.02707757734946,"GPR"
"247",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,55,247,1.03091776073943,"GPR"
"248",6,6,1,2,2,128,1,1.18258966570151e-10,16588,83,248,1.01508691320631,"GPR"
"249",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,58,249,1.0761594320093,"GPR"
"250",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,73,250,1.07835653189674,"GPR"
"251",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,74,251,1.04732094092038,"GPR"
"252",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,114,252,1.01488180994275,"GPR"
"253",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,51,253,1.04732094092038,"GPR"
"254",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,76,254,1.0511551928136,"GPR"
"255",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,82,255,1.03091776073943,"GPR"
